
Gen 1 vs 1k 

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
8,5            90  105    5      36   64    0      54   41    5     12276       0 , 7         148   50    2      59   40    1      89   10    1     16950
4,9            89  106    5      23   75    2      66   31    3     12122       0 , 3         148   47    5      59   37    4      89   10    1     17271
3,9            87  108    5      16   80    4      71   28    1     11720       1 , 8         146   48    6      56   39    5      90    9    1     17064
8,1            86  111    3      18   81    1      68   30    2     11585       8 , 3         146   53    1      59   41    0      87   12    1     17027
4,3            85  106    9      27   66    7      58   40    2     11785       4 , 9         144   51    5      56   40    4      88   11    1     16912
3,8            85  103   12      30   66    4      55   37    8     12037       0 , 6         143   51    6      58   38    4      85   13    2     16911
8,6            83  114    3      15   83    2      68   31    1     11292       6 , 0         142   53    5      56   43    1      86   10    4     16713
4,5            81  119    0      16   84    0      65   35    0     11064       9 , 0         142   51    7      55   42    3      87    9    4     16819
7,6            81  114    5      20   77    3      61   37    2     11310       3 , 4         141   53    6      55   40    5      86   13    1     16650
6,6            80  116    4      19   81    0      61   35    4     10972       2 , 5         141   55    4      62   37    1      79   18    3     16780
3,7            80  117    3      24   76    0      56   41    3     11233       9 , 9         140   59    1      54   46    0      86   13    1     16460
0,5            79  112    9      17   79    4      62   33    5     11170       8 , 1         140   52    8      55   41    4      85   11    4     16741
9,7            79  117    4      29   68    3      50   49    1     11046       3 , 8         140   51    9      55   37    8      85   14    1     16864
4,4            79  117    4      24   76    0      55   41    4     11072       0 , 1         139   58    3      52   47    1      87   11    2     16328
5,6            79  116    5      11   87    2      68   29    3     11124       1 , 2         138   60    2      49   50    1      89   10    1     16199
4,7            79  111   10      16   79    5      63   32    5     11344       6 , 5         138   52   10      60   37    3      78   15    7     16545
5,5            79  114    7      15   82    3      64   32    4     11253       0 , 0         137   60    3      55   43    2      82   17    1     16378
3,5            79  119    2      23   76    1      56   43    1     11122       6 , 6         136   61    3      52   46    2      84   15    1     16057
9,0            78  116    6      32   66    2      46   50    4     10992       9 , 7         136   62    2      50   50    0      86   12    2     16045
8,8            77  115    8      23   72    5      54   43    3     10997       9 , 6         136   56    8      53   41    6      83   15    2     16267
1,0            77  119    4      15   83    2      62   36    2     10884       5 , 7         136   59    5      55   42    3      81   17    2     16255
0,4            77  117    6      14   85    1      63   32    5     11166       1 , 9         136   59    5      49   49    2      87   10    3     16256
4,0            76  118    6      19   79    2      57   39    4     10644       8 , 8         136   61    3      53   46    1      83   15    2     16230
6,0            76  121    3      11   87    2      65   34    1     10683       9 , 1         136   56    8      52   43    5      84   13    3     16495
2,6            76  122    2      22   77    1      54   45    1     10664       2 , 8         135   62    3      50   48    2      85   14    1     15874
6,7            76  119    5      21   76    3      55   43    2     10821       3 , 1         135   60    5      51   47    2      84   13    3     16021
9,3            76  120    4      19   79    2      57   41    2     10818       7 , 9         135   56    9      56   38    6      79   18    3     16233
1,1            76  121    3      13   85    2      63   36    1     10800       9 , 8         135   57    8      55   41    4      80   16    4     16256
1,7            76  115    9      29   68    3      47   47    6     11033       3 , 0         135   59    6      56   40    4      79   19    2     16200
6,4            76  118    6      20   75    5      56   43    1     10958       1 , 5         135   61    4      53   45    2      82   16    2     16303
8,3            74  122    4      14   83    3      60   39    1     10683       8 , 2         134   61    5      50   46    4      84   15    1     15967
6,5            73  117   10      10   88    2      63   29    8     10697       6 , 8         134   64    2      51   47    2      83   17    0     15899
2,1            73  125    2      15   84    1      58   41    1     10458       1 , 6         134   63    3      57   41    2      77   22    1     16176
5,8            73  123    4      18   80    2      55   43    2     10596       1 , 0         133   65    2      46   52    2      87   13    0     15720
6,9            73  123    4      13   86    1      60   37    3     10685       4 , 6         133   63    4      46   50    4      87   13    0     15916
2,8            72  122    6      15   83    2      57   39    4     10480       8 , 4         133   65    2      46   52    2      87   13    0     15860
0,9            71  124    5      15   82    3      56   42    2     10242       2 , 6         133   60    7      48   47    5      85   13    2     16051
3,4            70  125    5      16   79    5      54   46    0     10229       1 , 4         133   62    5      50   47    3      83   15    2     16037
7,9            69  127    4      13   86    1      56   41    3     10013       5 , 8         133   63    4      56   41    3      77   22    1     16165
7,2            69  117   14      25   69    6      44   48    8     10542       2 , 2         132   65    3      47   52    1      85   13    2     15695
4,6            69  125    6       9   89    2      60   36    4     10323       5 , 4         132   66    2      43   56    1      89   10    1     15780
6,1            68  125    7      17   82    1      51   43    6     10225       6 , 9         132   63    5      49   48    3      83   15    2     15918
9,2            68  126    6      19   79    2      49   47    4     10217       8 , 9         132   63    5      48   49    3      84   14    2     15937
1,8            67  128    5      10   89    1      57   39    4      9929       7 , 6         131   66    3      48   50    2      83   16    1     15549
5,3            67  131    2      11   89    0      56   42    2      9877       7 , 3         131   65    4      44   55    1      87   10    3     15789
0,6            67  127    6      11   86    3      56   41    3     10075       2 , 0         130   63    7      42   53    5      88   10    2     15671
4,2            67  125    8      12   83    5      55   42    3     10278       0 , 5         130   65    5      47   49    4      83   16    1     15639
7,0            65  134    1      17   83    0      48   51    1      9663       3 , 9         130   66    4      40   57    3      90    9    1     15711
3,3            65  131    4      11   88    1      54   43    3      9844       1 , 3         129   68    3      47   50    3      82   18    0     15430
1,6            65  132    3       8   92    0      57   40    3      9918       9 , 3         129   65    6      45   52    3      84   13    3     15710
5,9            64  134    2      15   84    1      49   50    1      9490       0 , 2         129   68    3      50   48    2      79   20    1     15624
8,0            64  130    6      24   73    3      40   57    3      9861       9 , 2         129   64    7      45   50    5      84   14    2     15753
3,0            64  133    3      13   85    2      51   48    1      9858       1 , 1         128   69    3      46   53    1      82   16    2     15178
5,7            63  133    4      20   77    3      43   56    1      9668       2 , 9         128   70    2      42   56    2      86   14    0     15295
1,3            63  131    6      15   82    3      48   49    3      9794       6 , 1         128   66    6      49   48    3      79   18    3     15495
3,2            63  133    4      15   83    2      48   50    2      9753       5 , 6         128   66    6      51   47    2      77   19    4     15580
5,1            62  136    2       7   92    1      55   44    1      9313       7 , 7         128   68    4      46   50    4      82   18    0     15536
2,4            62  137    1      14   85    1      48   52    0      9475       8 , 5         127   68    5      43   54    3      84   14    2     15393
2,7            62  134    4      19   79    2      43   55    2      9596       8 , 6         127   68    5      42   55    3      85   13    2     15438
3,6            62  131    7      18   80    2      44   51    5      9755       6 , 7         127   69    4      45   52    3      82   17    1     15412
0,8            62  131    7      26   73    1      36   58    6      9818       3 , 5         127   69    4      47   51    2      80   18    2     15455
8,7            60  138    2      17   83    0      43   55    2      9303       8 , 7         126   65    9      46   46    8      80   19    1     15376
9,5            60  134    6      16   81    3      44   53    3      9484       5 , 2         126   69    5      50   48    2      76   21    3     15326
6,2            60  135    5      24   73    3      36   62    2      9550       7 , 1         126   67    7      45   53    2      81   14    5     15422
5,4            59  134    7      10   86    4      49   48    3      9340       5 , 9         126   67    7      49   47    4      77   20    3     15519
7,5            59  136    5      12   87    1      47   49    4      9346       9 , 4         126   66    8      48   49    3      78   17    5     15569
7,7            59  136    5       5   93    2      54   43    3      9360       0 , 8         126   71    3      50   50    0      76   21    3     15452
1,4            59  139    2      13   87    0      46   52    2      9326       1 , 7         125   72    3      43   55    2      82   17    1     15140
7,3            59  135    6      17   82    1      42   53    5      9533       7 , 8         125   68    7      45   49    6      80   19    1     15347
2,5            58  138    4      13   86    1      45   52    3      9082       3 , 7         125   69    6      44   53    3      81   16    3     15326
2,2            58  137    5      16   83    1      42   54    4      9125       7 , 5         125   67    8      48   48    4      77   19    4     15400
5,2            58  138    4      12   86    2      46   52    2      9200       6 , 4         125   69    6      43   53    4      82   16    2     15384
0,0            58  137    5      12   87    1      46   50    4      9241       0 , 9         125   72    3      37   61    2      88   11    1     15362
8,4            58  136    6       8   89    3      50   47    3      9277       4 , 2         124   70    6      37   59    4      87   11    2     15264
6,3            58  137    5      11   88    1      47   49    4      9310       9 , 5         124   70    6      39   59    2      85   11    4     15273
1,5            57  134    9      16   81    3      41   53    6      9396       4 , 3         124   75    1      36   63    1      88   12    0     15134
9,8            57  135    8      16   80    4      41   55    4      9377       2 , 1         124   72    4      43   56    1      81   16    3     15329
7,4            57  139    4      10   88    2      47   51    2      9250       5 , 5         124   71    5      42   57    1      82   14    4     15369
4,8            56  141    3      19   81    0      37   60    3      8859       2 , 7         124   66   10      45   48    7      79   18    3     15560
9,6            54  140    6      10   88    2      44   52    4      8996       6 , 3         123   72    5      44   53    3      79   19    2     14969
1,2            54  139    7       6   94    0      48   45    7      9107       4 , 4         123   70    7      42   53    5      81   17    2     15424
4,1            53  144    3       3   95    2      50   49    1      8528       4 , 8         122   72    6      41   54    5      81   18    1     15041
7,8            53  146    1      14   85    1      39   61    0      8511       4 , 7         122   71    7      43   52    5      79   19    2     15218
3,1            53  142    5      18   82    0      35   60    5      8780       4 , 0         121   76    3      36   62    2      85   14    1     14714
6,8            53  139    8      11   85    4      42   54    4      9004       3 , 6         120   74    6      41   56    3      79   18    3     14832
0,3            52  143    5       8   89    3      44   54    2      8791       5 , 3         120   71    9      38   56    6      82   15    3     15053
7,1            51  145    4      12   88    0      39   57    4      8676       6 , 2         119   76    5      36   60    4      83   16    1     14765
1,9            49  147    4      14   85    1      35   62    3      8366       4 , 1         119   78    3      35   64    1      84   14    2     14721
9,9            49  141   10      17   81    2      32   60    8      8591       3 , 2         119   71   10      44   51    5      75   20    5     15161
