
Gen 1 vs 1k 

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
6,7            91  101    8      35   61    4      56   40    4     12327       0 , 1         141   55    4      54   43    3      87   12    1     16463
9,2            90  106    4      27   71    2      63   35    2     12009       1 , 2         141   53    6      56   42    2      85   11    4     16631
0,4            89  105    6      37   60    3      52   45    3     12011       9 , 6         140   54    6      64   32    4      76   22    2     16542
4,2            88  104    8      41   55    4      47   49    4     12135       0 , 9         139   58    3      57   42    1      82   16    2     16358
4,8            84  112    4      18   81    1      66   31    3     11464       5 , 1         138   54    8      57   39    4      81   15    4     16334
8,4            84  106   10      29   65    6      55   41    4     11857       0 , 5         137   60    3      61   37    2      76   23    1     15989
8,3            83  111    6      26   70    4      57   41    2     11486       2 , 6         137   53   10      61   35    4      76   18    6     16360
7,1            83  109    8      34   63    3      49   46    5     11611       7 , 0         137   59    4      62   36    2      75   23    2     16225
7,5            83  106   11      33   64    3      50   42    8     11731       6 , 3         136   62    2      60   40    0      76   22    2     16074
9,1            83  114    3      26   72    2      57   42    1     11585       1 , 4         136   57    7      61   35    4      75   22    3     16300
1,1            82  110    8      25   69    6      57   41    2     11637       4 , 6         135   61    4      54   44    2      81   17    2     16047
5,1            81  113    6      29   71    0      52   42    6     11382       5 , 7         135   56    9      57   37    6      78   19    3     16330
1,6            81  113    6      36   60    4      45   53    2     11403       3 , 4         135   60    5      61   37    2      74   23    3     16249
3,5            81  109   10      34   62    4      47   47    6     11619       2 , 3         134   61    5      58   41    1      76   20    4     15926
4,6            80  113    7      29   71    0      51   42    7     11215       6 , 1         134   60    6      56   40    4      78   20    2     15971
8,8            79  115    6      37   61    2      42   54    4     11100       4 , 7         134   60    6      58   40    2      76   20    4     16009
1,3            79  120    1      32   68    0      47   52    1     10956       3 , 2         134   61    5      55   42    3      79   19    2     15988
8,1            79  113    8      37   59    4      42   54    4     11270       0 , 8         133   61    6      56   41    3      77   20    3     15986
2,9            78  118    4      15   84    1      63   34    3     10876       3 , 8         133   58    9      52   43    5      81   15    4     16113
0,1            78  119    3      31   68    1      47   51    2     10935       6 , 5         132   64    4      62   37    1      70   27    3     15676
5,6            78  116    6      30   66    4      48   50    2     11120       3 , 5         132   60    8      49   46    5      83   14    3     15991
2,1            78  118    4      30   68    2      48   50    2     11110       7 , 8         131   61    8      56   40    4      75   21    4     15839
0,0            77  120    3      32   66    2      45   54    1     10837       5 , 6         131   65    4      53   45    2      78   20    2     15768
5,4            77  117    6      35   64    1      42   53    5     10958       1 , 8         131   63    6      57   40    3      74   23    3     15865
3,6            77  117    6      28   69    3      49   48    3     10962       4 , 2         131   63    6      61   38    1      70   25    5     15866
0,7            77  114    9      31   65    4      46   49    5     11088       8 , 7         130   62    8      58   38    4      72   24    4     15873
4,1            76  116    8      25   71    4      51   45    4     10932       7 , 5         129   66    5      50   48    2      79   18    3     15418
0,8            75  117    8      27   67    6      48   50    2     10876       0 , 7         129   65    6      51   44    5      78   21    1     15509
9,8            75  121    4      27   71    2      48   50    2     10764       8 , 8         129   68    3      53   45    2      76   23    1     15542
8,7            75  119    6      30   67    3      45   52    3     10881       4 , 8         129   65    6      54   41    5      75   24    1     15677
6,8            74  120    6      27   72    1      47   48    5     10752       1 , 7         129   66    5      60   39    1      69   27    4     15664
3,7            74  123    3      24   74    2      50   49    1     10752       5 , 4         128   69    3      50   49    1      78   20    2     15261
9,6            73  123    4      25   73    2      48   50    2     10546       9 , 8         128   64    8      50   45    5      78   19    3     15521
1,4            72  125    3      24   76    0      48   49    3     10370       9 , 5         128   68    4      51   47    2      77   21    2     15466
9,0            72  124    4      24   73    3      48   51    1     10472       0 , 6         128   66    6      52   43    5      76   23    1     15574
2,2            71  126    3      19   79    2      52   47    1     10244       2 , 9         127   61   12      51   40    9      76   21    3     15593
1,0            71  127    2      23   77    0      48   50    2     10225       5 , 9         127   70    3      50   48    2      77   22    1     15312
6,1            71  127    2      23   76    1      48   51    1     10394       3 , 9         127   69    4      49   49    2      78   20    2     15383
2,5            70  126    4      20   79    1      50   47    3     10160       7 , 9         127   70    3      53   45    2      74   25    1     15372
8,9            70  126    4      18   79    3      52   47    1     10295       3 , 7         127   62   11      51   40    9      76   22    2     15633
2,8            70  126    4      17   81    2      53   45    2     10316       8 , 6         127   65    8      54   41    5      73   24    3     15660
4,3            70  120   10      21   76    3      49   44    7     10511       1 , 0         126   65    9      54   40    6      72   25    3     15221
7,4            70  119   11      18   78    4      52   41    7     10592       9 , 0         126   65    9      49   44    7      77   21    2     15397
7,0            70  122    8      27   71    2      43   51    6     10574       1 , 3         126   67    7      46   50    4      80   17    3     15400
3,0            69  128    3      23   76    1      46   52    2     10125       3 , 6         126   72    2      51   47    2      75   25    0     15249
0,6            69  126    5      16   80    4      53   46    1     10242       5 , 5         126   67    7      48   48    4      78   19    3     15443
8,5            69  125    6      23   75    2      46   50    4     10277       4 , 5         126   69    5      51   46    3      75   23    2     15421
3,4            69  126    5      21   76    3      48   50    2     10347       2 , 4         126   69    5      53   45    2      73   24    3     15435
7,7            69  122    9      15   80    5      54   42    4     10532       7 , 4         125   70    5      46   53    1      79   17    4     15146
6,6            68  126    6      21   75    4      47   51    2     10051       0 , 2         125   73    2      54   45    1      71   28    1     15186
5,2            68  127    5      23   75    2      45   52    3     10022       9 , 7         125   64   11      60   32    8      65   32    3     15593
6,0            68  127    5      18   79    3      50   48    2     10088       9 , 2         125   66    9      53   43    4      72   23    5     15547
5,9            68  127    5      24   71    5      44   56    0     10128       8 , 2         124   67    9      49   46    5      75   21    4     15314
7,9            68  126    6      23   76    1      45   50    5     10172       7 , 7         124   72    4      50   49    1      74   23    3     15156
4,9            68  125    7      32   64    4      36   61    3     10291       8 , 3         124   68    8      51   43    6      73   25    2     15306
1,8            67  129    4      20   79    1      47   50    3      9847       8 , 4         124   69    7      53   43    4      71   26    3     15307
3,9            67  127    6      15   83    2      52   44    4     10101       8 , 9         124   68    8      53   42    5      71   26    3     15349
3,3            67  130    3      24   74    2      43   56    1     10021       4 , 1         124   73    3      51   48    1      73   25    2     15199
4,5            67  117   16      29   64    7      38   53    9     10581       8 , 5         124   70    6      54   43    3      70   27    3     15403
5,8            67  123   10      14   80    6      53   43    4     10447       8 , 0         123   73    4      46   52    2      77   21    2     14880
1,2            66  128    6      25   70    5      41   58    1      9873       4 , 3         123   69    8      51   44    5      72   25    3     15201
0,2            66  128    6      25   73    2      41   55    4      9903       9 , 1         123   70    7      48   49    3      75   21    4     15204
2,3            66  128    6      33   67    0      33   61    6     10032       7 , 2         123   72    5      53   44    3      70   28    2     15155
2,7            66  127    7      28   65    7      38   62    0     10168       5 , 8         123   67   10      53   43    4      70   24    6     15324
9,3            65  129    6      25   72    3      40   57    3      9978       7 , 1         122   74    4      54   44    2      68   30    2     14915
6,9            65  122   13      23   67   10      42   55    3     10205       5 , 3         122   73    5      49   49    2      73   24    3     14995
4,0            65  125   10      29   69    2      36   56    8     10141       1 , 6         122   73    5      49   47    4      73   26    1     15044
2,0            65  130    5      28   70    2      37   60    3     10031       3 , 0         121   72    7      53   44    3      68   28    4     14952
6,2            65  129    6      22   75    3      43   54    3     10118       9 , 3         120   72    8      49   48    3      71   24    5     14886
2,4            64  135    1      22   78    0      42   57    1      9575       4 , 0         120   72    8      48   49    3      72   23    5     14951
5,3            64  135    1      17   83    0      47   52    1      9658       0 , 0         120   71    9      43   50    7      77   21    2     15028
0,3            64  126   10      15   79    6      49   47    4      9981       0 , 3         119   77    4      53   44    3      66   33    1     14721
3,8            64  127    9      20   76    4      44   51    5     10028       6 , 6         119   78    3      49   49    2      70   29    1     14746
8,6            64  132    4      22   76    2      42   56    2      9905       2 , 2         119   73    8      47   49    4      72   24    4     14915
0,5            64  128    8      29   69    2      35   59    6     10130       6 , 8         118   78    4      48   50    2      70   28    2     14617
7,2            63  134    3      16   83    1      47   51    2      9604       2 , 1         118   73    9      41   52    7      77   21    2     14782
2,6            63  126   11      20   74    6      43   52    5      9940       2 , 7         118   75    7      50   48    2      68   27    5     14788
9,5            63  131    6      23   73    4      40   58    2      9846       2 , 5         117   76    7      49   45    6      68   31    1     14536
9,7            62  132    6      17   80    3      45   52    3      9550       4 , 9         117   75    8      50   45    5      67   30    3     14784
7,6            62  130    8      19   78    3      43   52    5      9662       2 , 8         116   78    6      46   52    2      70   26    4     14621
1,7            61  132    7      20   77    3      41   55    4      9535       1 , 1         116   80    4      39   58    3      77   22    1     14570
4,4            61  137    2      23   77    0      38   60    2      9423       9 , 4         116   79    5      47   51    2      69   28    3     14664
7,3            61  135    4      24   75    1      37   60    3      9550       5 , 2         115   79    6      43   55    2      72   24    4     14314
7,8            61  134    5      18   81    1      43   53    4      9671       6 , 4         115   79    6      48   48    4      67   31    2     14400
8,2            60  135    5      19   77    4      41   58    1      9428       2 , 0         115   82    3      40   58    2      75   24    1     14328
8,0            60  134    6      16   81    3      44   53    3      9530       1 , 9         114   81    5      42   55    3      72   26    2     14263
9,4            60  133    7      28   67    5      32   66    2      9629       3 , 1         114   81    5      49   50    1      65   31    4     14303
5,7            60  132    8      14   86    0      46   46    8      9742       3 , 3         114   81    5      56   40    4      58   41    1     14314
6,3            60  135    5      19   79    2      41   56    3      9681       0 , 4         114   80    6      50   47    3      64   33    3     14403
1,9            59  136    5      11   87    2      48   49    3      9320       6 , 7         112   81    7      41   56    3      71   25    4     14064
4,7            59  136    5      18   81    1      41   55    4      9334       8 , 1         112   84    4      44   54    2      68   30    2     14066
6,4            57  136    7      23   73    4      34   63    3      9213       9 , 9         112   85    3      44   55    1      68   30    2     14165
3,1            57  137    6      15   82    3      42   55    3      9292       1 , 5         112   80    8      44   55    1      68   25    7     14439
1,5            57  137    6      12   85    3      45   52    3      9298       6 , 2         111   81    8      41   56    3      70   25    5     14156
3,2            57  134    9      17   78    5      40   56    4      9398       4 , 4         111   84    5      45   52    3      66   32    2     14239
9,9            56  133   11      18   77    5      38   56    6      9276       7 , 6         110   80   10      41   55    4      69   25    6     14343
5,0            54  145    1      22   77    1      32   68    0      8914       5 , 0         109   86    5      39   59    2      70   27    3     13886
5,5            54  140    6      13   84    3      41   56    3      9079       6 , 9         109   84    7      37   59    4      72   25    3     13986
0,9            53  136   11      17   78    5      36   58    6      9266       6 , 0         108   85    7      41   56    3      67   29    4     13921
6,5            50  145    5      11   87    2      39   58    3      8551       7 , 3         103   88    9      34   60    6      69   28    3     13631


Team A Total Wins: 6950
Team A Total Losses: 12441
Team B Total Wins: 12441
Team B Total Losses: 6950


Gen 1 vs 2k

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
0,4            84  109    7      34   63    3      50   46    4     11660       4 , 2         148   43    9      67   29    4      81   14    5     17176
9,3            83  109    8      21   77    2      62   32    6     11585       3 , 4         146   47    7      64   30    6      82   17    1     16961
0,9            82  116    2      26   73    1      56   43    1     11226       9 , 3         144   49    7      54   40    6      90    9    1     16705
9,1            82  109    9      25   71    4      57   38    5     11607       4 , 7         143   49    8      62   31    7      81   18    1     16728
2,0            81  114    5      31   66    3      50   48    2     11286       7 , 6         141   51    8      60   36    4      81   15    4     16727
8,8            80  107   13      35   61    4      45   46    9     11579       8 , 4         141   52    7      62   35    3      79   17    4     16696
6,4            78  116    6      30   66    4      48   50    2     11044       1 , 5         141   50    9      60   37    3      81   13    6     16796
3,7            78  113    9      19   76    5      59   37    4     11159       3 , 2         140   52    8      62   32    6      78   20    2     16618
3,5            78  111   11      34   61    5      44   50    6     11372       7 , 3         140   57    3      63   37    0      77   20    3     16541
6,9            77  117    6      28   68    4      49   49    2     11065       5 , 0         139   55    6      60   37    3      79   18    3     16439
7,5            76  117    7      34   61    5      42   56    2     10929       3 , 7         139   56    5      58   39    3      81   17    2     16478
2,6            75  116    9      25   69    6      50   47    3     10859       8 , 5         139   55    6      58   37    5      81   18    1     16522
3,6            75  119    6      29   69    2      46   50    4     10872       0 , 9         138   57    5      56   41    3      82   16    2     16300
0,2            74  114   12      28   67    5      46   47    7     10867       4 , 0         138   58    4      58   39    3      80   19    1     16297
4,2            74  119    7      34   63    3      40   56    4     10741       4 , 5         138   55    7      63   35    2      75   20    5     16404
9,9            74  123    3      21   77    2      53   46    1     10703       7 , 0         138   55    7      60   35    5      78   20    2     16440
2,7            73  121    6      26   73    1      47   48    5     10503       1 , 7         137   54    9      56   38    6      81   16    3     16345
9,5            73  118    9      27   70    3      46   48    6     10820       0 , 6         137   55    8      54   40    6      83   15    2     16326
0,1            73  120    7      24   76    0      49   44    7     10825       3 , 8         137   59    4      60   37    3      77   22    1     16260
8,4            73  118    9      29   68    3      44   50    6     10911       6 , 3         136   58    6      55   41    4      81   17    2     16105
8,1            72  114   14      23   72    5      49   42    9     10839       6 , 9         136   59    5      61   36    3      75   23    2     16074
9,2            72  120    8      27   70    3      45   50    5     10676       9 , 9         136   62    2      57   41    2      79   21    0     16023
9,0            72  123    5      31   66    3      41   57    2     10748       2 , 0         136   61    3      58   41    1      78   20    2     16095
4,3            71  123    6      23   75    2      48   48    4     10346       9 , 4         136   59    5      61   35    4      75   24    1     16180
6,7            71  120    9      27   70    3      44   50    6     10650       1 , 6         136   62    2      63   36    1      73   26    1     16115
6,6            71  121    8      26   71    3      45   50    5     10662       8 , 7         135   57    8      52   42    6      83   15    2     16190
8,6            70  126    4      34   65    1      36   61    3     10286       0 , 3         135   55   10      61   33    6      74   22    4     16310
4,1            70  125    5      29   68    3      41   57    2     10475       8 , 0         135   56    9      61   36    3      74   20    6     16302
8,5            69  127    4      16   82    2      53   45    2     10285       6 , 6         135   56    9      53   43    4      82   13    5     16324
6,3            69  122    9      28   67    5      41   55    4     10474       8 , 9         134   62    4      68   29    3      66   33    1     15856
1,6            69  123    8      23   74    3      46   49    5     10537       2 , 2         134   60    6      63   34    3      71   26    3     16065
0,0            69  123    8      17   77    6      52   46    2     10596       0 , 5         134   58    8      57   38    5      77   20    3     16188
1,7            68  122   10      30   67    3      38   55    7     10359       4 , 8         132   64    4      53   47    0      79   17    4     15778
8,9            68  129    3      28   71    1      40   58    2     10165       2 , 3         132   61    7      54   41    5      78   20    2     15921
5,1            68  123    9      28   69    3      40   54    6     10398       5 , 4         132   63    5      57   40    3      75   23    2     15899
4,0            67  125    8      30   67    3      37   58    5     10129       6 , 8         132   62    6      53   43    4      79   19    2     16050
2,4            67  125    8      15   83    2      52   42    6     10194       7 , 4         131   61    8      51   43    6      80   18    2     15846
3,0            67  124    9      19   80    1      48   44    8     10240       7 , 9         131   65    4      55   42    3      76   23    1     15720
3,2            67  125    8      13   84    3      54   41    5     10248       8 , 1         131   59   10      53   42    5      78   17    5     15938
1,9            66  125    9      14   81    5      52   44    4     10125       9 , 2         131   65    4      55   43    2      76   22    2     15764
1,8            66  133    1      14   85    1      52   48    0      9899       5 , 1         131   58   11      61   33    6      70   25    5     16007
4,5            66  128    6      26   71    3      40   57    3     10068       1 , 1         130   60   10      60   37    3      70   23    7     15670
9,8            66  123   11      25   70    5      41   53    6     10257       6 , 0         130   67    3      53   45    2      77   22    1     15513
3,4            66  124   10      17   80    3      49   44    7     10396       0 , 1         130   62    8      48   47    5      82   15    3     15919
5,7            65  128    7      20   75    5      45   53    2      9897       2 , 7         129   64    7      57   40    3      72   24    4     15593
2,1            65  130    5      17   81    2      48   49    3      9845       9 , 5         129   63    8      51   46    3      78   17    5     15640
9,6            65  124   11      24   71    5      41   53    6     10121       6 , 2         129   64    7      56   40    4      73   24    3     15622
7,9            65  128    7      20   78    2      45   50    5     10125       2 , 5         128   65    7      51   46    3      77   19    4     15497
7,3            65  126    9      22   73    5      43   53    4     10251       9 , 6         128   68    4      51   46    3      77   22    1     15461
2,8            64  131    5      21   76    3      43   55    2      9837       1 , 8         128   66    6      53   43    4      75   23    2     15532
4,8            64  129    7      21   75    4      43   54    3      9964       3 , 6         128   66    6      52   43    5      76   23    1     15578
1,3            64  129    7      26   72    2      38   57    5      9997       4 , 6         128   64    8      51   46    3      77   18    5     15644
6,2            63  131    6      16   80    4      47   51    2      9647       0 , 4         128   65    7      51   45    4      77   20    3     15701
1,0            63  132    5      20   78    2      43   54    3      9702       7 , 1         128   65    7      53   45    2      75   20    5     15737
9,4            63  133    4      17   81    2      46   52    2      9682       3 , 3         127   65    8      59   40    1      68   25    7     15373
5,8            63  130    7      14   83    3      49   47    4      9782       3 , 9         127   67    6      47   49    4      80   18    2     15360
5,4            63  131    6      22   76    2      41   55    4      9792       1 , 4         127   70    3      46   52    2      81   18    1     15304
6,8            63  133    4      23   76    1      40   57    3      9748       8 , 8         127   67    6      53   44    3      74   23    3     15420
6,1            63  136    1      20   80    0      43   56    1      9680       6 , 4         127   65    8      52   42    6      75   23    2     15538
5,5            63  129    8      17   81    2      46   48    6      9919       1 , 3         127   63   10      54   39    7      73   24    3     15674
3,8            63  129    8      21   75    4      42   54    4      9925       0 , 7         126   67    7      55   38    7      71   29    0     15368
4,6            62  132    6      24   75    1      38   57    5      9575       6 , 1         126   70    4      52   46    2      74   24    2     15288
7,1            62  134    4      21   78    1      41   56    3      9513       8 , 2         126   66    8      48   47    5      78   19    3     15450
2,5            62  132    6      14   82    4      48   50    2      9681       6 , 7         126   68    6      45   52    3      81   16    3     15390
0,5            62  132    6      24   76    0      38   56    6      9729       0 , 2         126   65    9      53   43    4      73   22    5     15492
8,2            62  130    8      14   80    6      48   50    2      9971       9 , 7         126   62   12      55   40    5      71   22    7     15731
5,0            62  134    4      16   81    3      46   53    1      9878       9 , 0         125   71    4      49   49    2      76   22    2     15204
1,1            61  135    4      25   74    1      36   61    3      9525       5 , 5         125   69    6      56   43    1      69   26    5     15270
3,9            61  133    6      22   77    1      39   56    5      9590       0 , 0         125   65   10      54   41    5      71   24    5     15413
5,2            61  134    5      21   76    3      40   58    2      9590       2 , 4         125   67    8      50   46    4      75   21    4     15392
2,2            61  136    3      15   82    3      46   54    0      9614       2 , 9         125   69    6      49   48    3      76   21    3     15370
5,3            60  132    8      18   77    5      42   55    3      9574       2 , 8         125   70    5      54   42    4      71   28    1     15384
7,0            60  135    5      19   77    4      41   58    1      9698       5 , 7         124   75    1      48   51    1      76   24    0     14994
5,6            59  137    4      20   79    1      39   58    3      9277       8 , 3         124   69    7      41   56    3      83   13    4     15202
0,6            59  135    6      15   85    0      44   50    6      9442       9 , 1         124   73    3      45   55    0      79   18    3     15095
2,3            59  132    9      26   69    5      33   63    4      9622       7 , 8         124   61   15      50   38   12      74   23    3     15514
8,7            59  135    6      15   83    2      44   52    4      9569       5 , 6         124   68    8      47   46    7      77   22    1     15335
7,7            58  135    7      12   84    4      46   51    3      9348       2 , 6         124   70    6      43   52    5      81   18    1     15386
1,2            58  137    5      17   83    0      41   54    5      9287       4 , 3         122   73    5      45   51    4      77   22    1     14913
0,8            58  132   10      11   84    5      47   48    5      9562       7 , 2         122   68   10      53   41    6      69   27    4     15236
4,4            58  134    8      18   79    3      40   55    5      9509       5 , 8         121   68   11      48   47    5      73   21    6     15047
4,7            57  137    6      14   83    3      43   54    3      9296       3 , 5         121   72    7      51   46    3      70   26    4     14970
