
Gen 1 vs 1k 

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
9,7            78  119    3      26   74    0      52   45    3     11064       5 , 8         180   17    3      92    7    1      88   10    2     20357
1,6            74  124    2      15   85    0      59   39    2     10482       5 , 7         178   20    2      91    8    1      87   12    1     20879
2,5            74  119    7      15   83    2      59   36    5     10721       4 , 2         172   22    6      81   16    3      91    6    3     19621
1,8            73  121    6       7   90    3      66   31    3     10513       9 , 0         171   26    3      81   16    3      90   10    0     19421
8,7            70  126    4      23   74    3      47   52    1     10041       2 , 1         170   27    3      80   18    2      90    9    1     19222
2,8            70  116   14      20   74    6      50   42    8     10767       3 , 0         169   27    4      77   19    4      92    8    0     19243
0,4            69  123    8       9   88    3      60   35    5     10334       0 , 7         169   29    2      86   12    2      83   17    0     19366
8,6            68  127    5      29   70    1      39   57    4      9866       6 , 5         167   31    2      83   15    2      84   16    0     18967
7,6            67  127    6      24   74    2      43   53    4     10048       1 , 2         163   32    5      71   27    2      92    5    3     18644
9,5            67  125    8      16   81    3      51   44    5     10117       4 , 0         163   34    3      71   27    2      92    7    1     18634
8,8            66  132    2      17   83    0      49   49    2      9643       2 , 0         163   33    4      75   23    2      88   10    2     18846
3,0            63  132    5      14   85    1      49   47    4      9716       0 , 6         162   35    3      74   24    2      88   11    1     18788
7,5            63  130    7      17   80    3      46   50    4      9980       3 , 6         161   34    5      77   20    3      84   14    2     18553
4,4            62  137    1      19   81    0      43   56    1      9104       4 , 7         160   38    2      78   21    1      82   17    1     18768
4,3            60  137    3      22   76    2      38   61    1      9049       1 , 0         159   34    7      73   24    3      86   10    4     18486
6,5            60  136    4      23   74    3      37   62    1      9111       0 , 5         158   40    2      67   33    0      91    7    2     18131
5,8            60  134    6      27   70    3      33   64    3      9295       2 , 5         158   37    5      71   26    3      87   11    2     18383
0,2            60  138    2       7   93    0      53   45    2      9282       2 , 2         157   40    3      69   29    2      88   11    1     17921
3,6            60  137    3      15   84    1      45   53    2      9341       0 , 9         157   37    6      68   27    5      89   10    1     18200
8,5            60  138    2      15   84    1      45   54    1      9312       6 , 7         157   40    3      68   30    2      89   10    1     18607
3,9            60  130   10       9   88    3      51   42    7      9596       8 , 3         156   36    8      67   28    5      89    8    3     18082
4,8            59  134    7      24   73    3      35   61    4      9474       1 , 9         156   41    3      69   29    2      87   12    1     18003
5,7            58  136    6      17   80    3      41   56    3      9500       8 , 6         156   39    5      65   32    3      91    7    2     18231
7,9            57  140    3      26   74    0      31   66    3      9067       4 , 4         156   39    5      73   24    3      83   15    2     18410
6,1            56  140    4      31   67    2      25   73    2      8962       4 , 6         156   39    5      74   22    4      82   17    1     18619
4,9            56  138    6      11   84    5      45   54    1      9040       0 , 4         155   41    4      68   30    2      87   11    2     17918
6,9            55  143    2       9   89    2      46   54    0      8716       6 , 8         155   40    5      68   27    5      87   13    0     18554
6,6            55  138    7      10   89    1      45   49    6      9203       7 , 9         154   44    2      66   32    2      88   12    0     17591
2,6            54  145    1      24   76    0      30   69    1      8635       2 , 7         154   43    3      68   30    2      86   13    1     17820
8,0            54  134   12      19   75    6      35   59    6      8988       2 , 4         154   42    4      66   31    3      88   11    1     17882
8,4            54  140    6      10   89    1      44   51    5      8917       9 , 2         153   43    4      64   35    1      89    8    3     17890
0,3            54  141    5       6   92    2      48   49    3      8897       8 , 4         152   44    4      73   26    1      79   18    3     17644
9,8            53  146    1      15   85    0      38   61    1      8512       1 , 4         152   37   11      63   31    6      89    6    5     18010
5,9            53  138    9      18   76    6      35   62    3      8887       5 , 6         152   44    4      67   30    3      85   14    1     18282
3,8            52  148    0      15   85    0      37   63    0      8394       9 , 7         151   45    4      61   36    3      90    9    1     17689
3,2            52  143    5      23   74    3      29   69    2      8739       6 , 2         151   43    6      65   30    5      86   13    1     17794
1,4            52  134   14      19   74    7      33   60    7      9229       0 , 8         151   41    8      62   34    4      89    7    4     17867
5,2            51  145    4       7   93    0      44   52    4      8063       5 , 0         150   46    4      67   31    2      83   15    2     17400
1,2            51  147    2      12   88    0      39   59    2      8400       7 , 4         150   44    6      69   29    2      81   15    4     17553
0,7            51  143    6       7   93    0      44   50    6      8542       3 , 4         150   46    4      65   31    4      85   15    0     17507
0,1            51  146    3      10   89    1      41   57    2      8576       0 , 3         150   47    3      67   32    1      83   15    2     18014
9,9            51  144    5      17   80    3      34   64    2      8666       5 , 4         150   43    7      69   28    3      81   15    4     18262
7,8            51  138   11      17   76    7      34   62    4      8889       9 , 3         149   48    3      66   32    2      83   16    1     17233
1,7            50  149    1      20   80    0      30   69    1      7926       8 , 5         149   46    5      64   31    5      85   15    0     17404
0,8            50  144    6       6   91    3      44   53    3      8581       5 , 3         149   44    7      65   30    5      84   14    2     17470
7,7            50  145    5      11   87    2      39   58    3      8697       3 , 1         149   50    1      65   35    0      84   15    1     17314
1,9            49  144    7      14   82    4      35   62    3      8431       3 , 2         149   49    2      63   36    1      86   13    1     17449
2,0            49  149    2      11   88    1      38   61    1      8351       0 , 0         148   46    6      63   35    2      85   11    4     17271
7,2            49  146    5       9   89    2      40   57    3      8553       8 , 2         148   49    3      63   36    1      85   13    2     17186
9,6            47  147    6       8   89    3      39   58    3      8234       1 , 6         148   43    9      63   34    3      85    9    6     17513
