
Gen 1 vs 1k 

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
5,9            91  103    6      31   66    3      60   37    3     12201       2 , 2         146   50    4      57   40    3      89   10    1     16967
3,6            88  107    5      33   66    1      55   41    4     11877       7 , 8         141   49   10      63   32    5      78   17    5     16705
7,1            85  112    3      26   73    1      59   39    2     11543       1 , 3         140   49   11      61   30    9      79   19    2     16797
4,2            85  108    7      38   58    4      47   50    3     11693       4 , 7         139   55    6      59   37    4      80   18    2     16446
6,5            83  105   12      31   62    7      52   43    5     11876       2 , 5         139   51   10      64   31    5      75   20    5     16626
0,4            82  108   10      36   58    6      46   50    4     11465       8 , 2         139   58    3      56   42    2      83   16    1     16421
4,4            81  113    6      33   65    2      48   48    4     11306       9 , 8         137   56    7      60   35    5      77   21    2     16346
0,8            80  113    7      21   77    2      59   36    5     11078       9 , 7         136   61    3      53   45    2      83   16    1     16147
0,9            80  115    5      30   70    0      50   45    5     11172       3 , 1         136   58    6      57   40    3      79   18    3     16326
7,5            80  114    6      37   61    2      43   53    4     11234       8 , 0         135   58    7      61   35    4      74   23    3     16123
6,8            80  113    7      28   71    1      52   42    6     11331       9 , 5         135   58    7      62   37    1      73   21    6     16150
2,7            80  113    7      33   63    4      47   50    3     11522       6 , 1         135   63    2      59   40    1      76   23    1     16199
7,9            79  113    8      26   69    5      53   44    3     11120       5 , 0         134   60    6      61   36    3      73   24    3     16042
7,6            79  117    4      24   73    3      55   44    1     11037       2 , 4         134   57    9      55   40    5      79   17    4     16159
6,7            79  112    9      24   72    4      55   40    5     11241       6 , 3         134   62    4      52   44    4      82   18    0     16093
4,1            79  116    5      41   56    3      38   60    2     11216       0 , 9         133   63    4      56   43    1      77   20    3     15871
5,1            78  119    3      25   73    2      53   46    1     10918       9 , 6         133   59    8      59   35    6      74   24    2     16044
0,7            78  117    5      21   78    1      57   39    4     11073       0 , 0         131   66    3      51   47    2      80   19    1     15612
8,0            78  116    6      32   64    4      46   52    2     11134       7 , 6         131   67    2      52   47    1      79   20    1     15597
4,0            77  119    4      20   78    2      57   41    2     10730       5 , 8         131   67    2      57   42    1      74   25    1     15723
3,8            77  119    4      21   79    0      56   40    4     10765       0 , 5         130   66    4      54   44    2      76   22    2     15599
3,7            77  121    2      30   68    2      47   53    0     10779       4 , 8         130   65    5      54   45    1      76   20    4     15711
6,9            77  117    6      24   73    3      53   44    3     11044       7 , 7         129   61   10      55   40    5      74   21    5     15630
9,7            76  120    4      23   75    2      53   45    2     10749       7 , 0         129   67    4      51   47    2      78   20    2     15537
8,8            76  116    8      21   73    6      55   43    2     10991       6 , 7         129   62    9      53   44    3      76   18    6     15763
6,3            75  122    3      25   74    1      50   48    2     10733       3 , 6         128   67    5      52   48    0      76   19    5     15438
5,3            75  115   10      28   64    8      47   51    2     11010       3 , 7         128   63    9      53   43    4      75   20    5     15588
3,5            75  122    3      35   64    1      40   58    2     10845       8 , 4         128   66    6      55   42    3      73   24    3     15541
8,4            74  120    6      21   77    2      53   43    4     10612       4 , 2         128   66    6      53   44    3      75   22    3     15578
1,0            74  119    7      22   76    2      52   43    5     10686       9 , 2         128   67    5      53   43    4      75   24    1     15632
2,0            74  120    6      27   70    3      47   50    3     10713       4 , 3         127   70    3      49   49    2      78   21    1     15296
2,2            74  118    8      34   60    6      40   58    2     10805       1 , 0         127   68    5      54   44    2      73   24    3     15546
9,0            74  120    6      27   71    2      47   49    4     10896       7 , 9         127   66    7      46   52    2      81   14    5     15691
5,0            73  122    5      24   73    3      49   49    2     10515       7 , 4         127   65    8      50   43    7      77   22    1     15736
1,5            73  119    8      29   68    3      44   51    5     10702       2 , 1         126   70    4      49   48    3      77   22    1     15237
6,4            73  119    8      20   74    6      53   45    2     10785       0 , 2         126   63   11      53   42    5      73   21    6     15649
9,6            73  124    3      17   82    1      56   42    2     10651       5 , 3         126   68    6      44   51    5      82   17    1     15558
