
1 vs 1k

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
8,4            78  118    4      23   75    2      55   43    2 750979420       8 , 3         152   42    6      63   32    5      89   10    1 750986070
3,3            76  120    4      24   74    2      52   46    2 750979251       4 , 4         148   46    6      63   33    4      85   13    2 750985890
8,6            75  118    7      17   79    4      58   39    3 750979519       7 , 3         147   48    5      55   42    3      92    6    2 750985652
7,8            74  118    8      12   84    4      62   34    4 750979415       9 , 2         147   50    3      57   41    2      90    9    1 750985671
7,7            74  121    5      12   84    4      62   37    1 750979360       6 , 8         146   53    1      56   43    1      90   10    0 750985341
5,4            73  121    6      22   77    1      51   44    5 750979191       3 , 4         145   47    8      53   42    5      92    5    3 750985568
6,6            71  125    4      11   87    2      60   38    2 750979019       1 , 3         145   52    3      53   45    2      92    7    1 750985419
7,3            71  127    2      10   89    1      61   38    1 750978957       1 , 8         145   49    6      61   35    4      84   14    2 750985560
8,8            70  126    4       8   90    2      62   36    2 750978713       5 , 2         145   51    4      53   44    3      92    7    1 750985502
6,8            70  120   10      14   84    2      56   36    8 750979091       4 , 0         145   51    4      53   44    3      92    7    1 750985530
2,0            70  125    5      12   83    5      58   42    0 750978954       2 , 7         144   51    5      55   42    3      89    9    2 750985376
4,3            70  126    4      15   82    3      55   44    1 750979099       9 , 6         144   49    7      48   45    7      96    4    0 750985440
1,9            69  130    1      10   89    1      59   41    0 750978319       7 , 1         144   54    2      54   44    2      90   10    0 750985285
4,1            69  122    9      13   83    4      56   39    5 750978941       2 , 2         144   53    3      57   41    2      87   12    1 750985444
4,4            69  128    3      12   87    1      57   41    2 750978921       6 , 2         144   53    3      57   40    3      87   13    0 750985495
6,0            68  129    3      14   85    1      54   44    2 750978554       3 , 2         142   48   10      57   39    4      85    9    6 750985315
4,2            68  127    5      17   80    3      51   47    2 750978640       5 , 9         142   51    7      60   37    3      82   14    4 750985245
0,1            68  128    4      21   77    2      47   51    2 750978628       8 , 1         142   57    1      53   46    1      89   11    0 750985054
2,6            68  126    6       7   90    3      61   36    3 750978875       8 , 5         142   56    2      52   47    1      90    9    1 750985093
6,5            67  127    6      23   75    2      44   52    4 750978548       0 , 2         142   54    4      52   46    2      90    8    2 750985194
1,2            67  126    7       8   89    3      59   37    4 750978762       9 , 0         142   51    7      59   38    3      83   13    4 750985329
8,1            67  128    5      17   81    2      50   47    3 750978728       5 , 1         142   54    4      49   49    2      93    5    2 750985239
3,7            66  129    5      16   83    1      50   46    4 750978550       9 , 8         142   50    8      55   40    5      87   10    3 750985410
7,0            65  133    2       9   90    1      56   43    1 750978281       0 , 4         140   57    3      49   48    3      91    9    0 750984815
8,9            65  123   12      14   79    7      51   44    5 750978646       6 , 0         140   53    7      56   42    2      84   11    5 750985043
8,3            65  129    6      11   86    3      54   43    3 750978564       8 , 2         140   58    2      52   46    2      88   12    0 750984911
2,2            64  133    3       8   91    1      56   42    2 750978223       2 , 0         140   57    3      53   46    1      87   11    2 750985053
2,3            64  134    2      14   85    1      50   49    1 750978217       0 , 0         139   56    5      44   52    4      95    4    1 750984932
8,0            64  130    6      13   83    4      51   47    2 750978440       1 , 4         139   53    8      50   48    2      89    5    6 750985075
7,6            63  132    5      11   87    2      52   45    3 750978102       2 , 4         138   59    3      48   50    2      90    9    1 750984654
5,0            63  133    4      14   84    2      49   49    2 750978137       8 , 6         138   57    5      50   48    2      88    9    3 750984794
0,5            63  135    2       9   89    2      54   46    0 750978113       6 , 9         138   58    4      50   47    3      88   11    1 750984774
8,5            63  131    6      13   86    1      50   45    5 750978275       0 , 6         138   56    6      50   46    4      88   10    2 750984880
2,9            63  134    3       8   90    2      55   44    1 750978185       1 , 9         138   58    4      49   49    2      89    9    2 750984825
9,5            63  132    5      14   84    2      49   48    3 750978293       7 , 7         138   60    2      52   48    0      86   12    2 750984782
9,3            63  131    6       9   90    1      54   41    5 750978330       4 , 2         138   54    8      55   43    2      83   11    6 750985012
7,2            63  132    5       5   93    2      58   39    3 750978405       3 , 9         138   59    3      50   49    1      88   10    2 750984882
3,4            62  133    5      10   88    2      52   45    3 750978083       2 , 5         137   62    1      50   49    1      87   13    0 750984614
5,2            62  131    7      14   83    3      48   48    4 750978200       0 , 1         137   57    6      49   48    3      88    9    3 750984875
6,9            62  133    5      12   85    3      50   48    2 750978154       3 , 1         137   58    5      52   44    4      85   14    1 750984886
6,2            62  134    4       5   94    1      57   40    3 750978147       2 , 3         137   56    7      47   48    5      90    8    2 750984957
6,1            62  131    7       6   90    4      56   41    3 750978487       0 , 3         136   60    4      49   51    0      87    9    4 750984481
8,7            61  136    3      12   86    2      49   50    1 750977890       3 , 8         136   57    7      47   48    5      89    9    2 750984825
9,2            61  132    7       8   90    2      53   42    5 750978151       4 , 3         136   58    6      48   48    4      88   10    2 750984812
