
1 vs 1k

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
5,4            99   97    4      31   66    3      68   31    1 -2119911204       8 , 4         157   40    3      70   30    0      87   10    3 -2119879382
6,2            84  113    3      42   57    1      42   56    2 -2119912518       7 , 3         156   40    4      76   21    3      80   19    1 -2119879301
3,7            83  111    6      30   66    4      53   45    2 -2119912629       7 , 1         152   46    2      63   35    2      89   11    0 -2119879982
8,9            80  119    1      25   74    1      55   45    0 -2119913132       7 , 0         152   47    1      68   32    0      84   15    1 -2119879787
7,4            77  120    3      24   74    2      53   46    1 -2119913349       0 , 5         151   45    4      67   31    2      84   14    2 -2119879893
3,9            77  116    7      11   85    4      66   31    3 -2119913040       7 , 7         151   48    1      64   36    0      87   12    1 -2119879898
7,7            76  123    1      18   81    1      58   42    0 -2119913283       0 , 6         151   46    3      69   29    2      82   17    1 -2119879833
4,5            74  122    4      16   83    1      58   39    3 -2119913529       8 , 0         151   43    6      69   27    4      82   16    2 -2119879694
2,9            71  123    6      24   73    3      47   50    3 -2119913607       2 , 7         150   45    5      65   31    4      85   14    1 -2119879958
3,8            70  123    7      23   77    0      47   46    7 -2119913839       4 , 9         150   47    3      61   37    2      89   10    1 -2119879842
8,4            70  125    5      15   83    2      55   42    3 -2119913868       1 , 7         150   43    7      64   33    3      86   10    4 -2119879660
7,1            69  130    1      12   88    0      57   42    1 -2119914167       7 , 8         149   49    2      64   34    2      85   15    0 -2119880089
4,3            69  127    4      16   83    1      53   44    3 -2119913898       6 , 2         148   49    3      60   39    1      88   10    2 -2119880226
8,0            67  128    5      13   85    2      54   43    3 -2119914191       2 , 0         147   47    6      61   33    6      86   14    0 -2119880142
1,4            67  129    4      11   87    2      56   42    2 -2119914199       9 , 5         147   48    5      61   35    4      86   13    1 -2119880158
2,4            67  126    7      11   86    3      56   40    4 -2119913944       3 , 4         146   53    1      58   42    0      88   11    1 -2119880515
4,2            66  132    2      14   86    0      52   46    2 -2119914263       2 , 4         146   48    6      63   36    1      83   12    5 -2119880238
9,8            66  128    6      18   79    3      48   49    3 -2119914096       0 , 8         146   49    5      59   37    4      87   12    1 -2119880249
5,7            66  125    9      13   83    4      53   42    5 -2119913707       7 , 6         146   51    3      56   41    3      90   10    0 -2119880195
3,0            65  132    3      15   83    2      50   49    1 -2119914433       1 , 4         145   51    4      55   41    4      90   10    0 -2119880335
1,9            65  124   11      16   79    5      49   45    6 -2119914006       8 , 7         145   50    5      63   32    5      82   18    0 -2119880277
8,8            64  129    7      15   82    3      49   47    4 -2119914477       2 , 3         145   49    6      58   39    3      87   10    3 -2119880154
0,6            64  135    1      17   83    0      47   52    1 -2119914540       5 , 8         145   50    5      55   41    4      90    9    1 -2119880117
9,9            64  134    2      21   78    1      43   56    1 -2119914472       6 , 1         144   52    4      56   43    1      88    9    3 -2119880598
3,2            64  129    7      16   79    5      48   50    2 -2119914253       0 , 3         144   54    2      56   44    0      88   10    2 -2119880635
9,6            63  131    6      16   83    1      47   48    5 -2119914436       1 , 5         144   52    4      61   38    1      83   14    3 -2119880477
7,3            63  135    2      13   86    1      50   49    1 -2119914501       2 , 6         144   52    4      58   39    3      86   13    1 -2119880442
6,8            63  134    3      10   90    0      53   44    3 -2119914436       6 , 7         143   55    2      54   45    1      89   10    1 -2119880632
9,0            62  135    3       9   90    1      53   45    2 -2119914727       0 , 7         143   49    8      57   39    4      86   10    4 -2119880381
2,0            62  136    2       8   90    2      54   46    0 -2119914646       5 , 5         143   55    2      51   48    1      92    7    1 -2119880540
8,6            62  136    2       9   91    0      53   45    2 -2119914601       9 , 8         142   54    4      60   37    3      82   17    1 -2119880848
1,0            62  135    3      10   89    1      52   46    2 -2119914538       9 , 4         142   51    7      56   42    2      86    9    5 -2119880634
5,1            62  133    5      13   85    2      49   48    3 -2119914367       4 , 7         142   51    7      53   43    4      89    8    3 -2119880488
9,5            62  128   10      15   82    3      47   46    7 -2119914190       3 , 3         142   51    7      53   41    6      89   10    1 -2119880468
8,7            62  132    6      12   87    1      50   45    5 -2119914298       6 , 3         141   56    3      45   52    3      96    4    0 -2119880941
7,6            61  134    5      10   89    1      51   45    4 -2119914670       3 , 6         141   56    3      58   39    3      83   17    0 -2119880724
8,1            61  135    4      15   82    3      46   53    1 -2119914598       9 , 6         140   54    6      54   40    6      86   14    0 -2119880793
5,0            61  136    3       8   92    0      53   44    3 -2119914595       8 , 9         140   56    4      53   45    2      87   11    2 -2119880856
3,6            61  132    7      20   77    3      41   55    4 -2119914391       1 , 1         140   55    5      55   42    3      85   13    2 -2119880776
2,1            61  131    8       9   88    3      52   43    5 -2119914225       5 , 7         140   59    1      52   48    0      88   11    1 -2119880882
7,8            61  133    6      11   85    4      50   48    2 -2119914278       5 , 3         140   54    6      56   40    4      84   14    2 -2119880632
2,6            60  138    2      14   85    1      46   53    1 -2119914940       6 , 4         140   56    4      52   47    1      88    9    3 -2119880573
5,6            60  135    5       6   92    2      54   43    3 -2119914742       5 , 9         139   57    4      50   47    3      89   10    1 -2119880836
3,1            60  137    3       6   93    1      54   44    2 -2119914783       2 , 2         139   60    1      51   48    1      88   12    0 -2119880912
4,8            60  137    3      16   84    0      44   53    3 -2119914741       8 , 8         139   55    6      51   45    4      88   10    2 -2119880742
6,7            60  137    3      10   90    0      50   47    3 -2119914618       9 , 7         138   58    4      47   50    3      91    8    1 -2119881267
3,4            60  136    4       8   91    1      52   45    3 -2119914472       6 , 0         138   58    4      58   40    2      80   18    2 -2119880954
7,0            59  135    6      12   84    4      47   51    2 -2119914739       3 , 0         138   57    5      49   49    2      89    8    3 -2119880886
5,2            59  138    3       8   92    0      51   46    3 -2119914753       8 , 6         138   57    5      56   41    3      82   16    2 -2119880797
0,8            59  137    4      12   87    1      47   50    3 -2119914705       9 , 2         138   59    3      57   42    1      81   17    2 -2119880844
9,7            59  139    2      20   78    2      39   61    0 -2119914729       8 , 3         137   54    9      55   38    7      82   16    2 -2119880976
1,2            59  134    7      20   77    3      39   57    4 -2119914562       1 , 3         137   60    3      49   49    2      88   11    1 -2119881026
0,7            59  138    3      10   89    1      49   49    2 -2119914646       6 , 6         136   62    2      50   50    0      86   12    2 -2119881256
6,6            59  134    7      15   82    3      44   52    4 -2119914480       8 , 5         136   61    3      51   47    2      85   14    1 -2119881195
9,2            58  141    1      11   88    1      47   53    0 -2119914918       6 , 5         136   61    3      54   45    1      82   16    2 -2119880974
2,5            58  141    1       6   93    1      52   48    0 -2119914913       5 , 1         135   62    3      47   52    1      88   10    2 -2119881327
5,3            57  140    3      13   85    2      44   55    1 -2119914997       4 , 8         135   63    2      44   54    2      91    9    0 -2119881328
1,1            57  141    2       6   94    0      51   47    2 -2119914944       0 , 4         135   58    7      54   42    4      81   16    3 -2119881163
0,5            56  137    7       9   89    2      47   48    5 -2119915068       7 , 9         135   61    4      51   45    4      84   16    0 -2119881142
4,1            56  140    4      12   85    3      44   55    1 -2119915079       3 , 7         135   60    5      49   47    4      86   13    1 -2119881070
7,2            56  144    0      11   89    0      45   55    0 -2119914998       4 , 6         135   57    8      55   41    4      80   16    4 -2119880966
0,1            55  141    4      15   83    2      40   58    2 -2119915169       8 , 1         134   64    2      47   53    0      87   11    2 -2119881563
2,2            55  142    3      15   83    2      40   59    1 -2119915177       9 , 3         134   63    3      48   50    2      86   13    1 -2119881291
6,4            55  138    7      11   87    2      44   51    5 -2119914965       4 , 5         134   57    9      48   46    6      86   11    3 -2119881044
0,9            54  142    4       9   89    2      45   53    2 -2119915362       4 , 4         134   60    6      49   45    6      85   15    0 -2119881118
1,6            54  146    0       8   92    0      46   54    0 -2119915432       3 , 5         133   65    2      50   49    1      83   16    1 -2119881534
8,5            54  142    4      19   79    2      35   63    2 -2119915250       3 , 1         133   63    4      50   49    1      83   14    3 -2119881456
0,4            54  145    1      15   85    0      39   60    1 -2119915256       7 , 4         133   66    1      49   50    1      84   16    0 -2119881520
4,6            54  138    8      12   83    5      42   55    3 -2119914974       3 , 9         133   61    6      50   48    2      83   13    4 -2119881211
4,9            54  142    4       1   99    0      53   43    4 -2119915076       5 , 0         133   59    8      49   44    7      84   15    1 -2119881121
5,5            53  143    4      13   83    4      40   60    0 -2119915437       2 , 8         132   65    3      48   51    1      84   14    2 -2119881639
8,3            53  146    1      16   83    1      37   63    0 -2119915530       2 , 1         132   64    4      50   49    1      82   15    3 -2119881573
4,7            52  144    4       4   96    0      48   48    4 -2119915332       4 , 2         132   64    4      46   52    2      86   12    2 -2119881532
1,3            51  144    5       5   92    3      46   52    2 -2119915395       7 , 2         132   63    5      45   54    1      87    9    4 -2119881500
9,1            51  141    8      17   82    1      34   59    7 -2119915194       8 , 2         132   66    2      46   52    2      86   14    0 -2119881589
6,5            50  148    2       8   92    0      42   56    2 -2119915731       3 , 2         132   63    5      45   50    5      87   13    0 -2119881443
7,5            50  147    3       5   94    1      45   53    2 -2119915691       2 , 5         132   61    7      51   46    3      81   15    4 -2119881346
1,7            50  148    2      13   87    0      37   61    2 -2119915651       9 , 9         131   64    5      46   50    4      85   14    1 -2119881629
0,3            50  145    5       6   92    2      44   53    3 -2119915509       0 , 0         130   66    4      46   51    3      84   15    1 -2119881607
6,9            50  148    2      18   80    2      32   68    0 -2119915584       5 , 6         130   66    4      47   52    1      83   14    3 -2119881597
1,5            49  146    5      13   85    2      36   61    3 -2119915583       7 , 5         130   65    5      43   54    3      87   11    2 -2119881514
0,0            48  147    5       6   91    3      42   56    2 -2119915917       1 , 9         130   64    6      43   52    5      87   12    1 -2119881440
6,3            48  146    6      15   83    2      33   63    4 -2119915811       4 , 3         129   71    0      42   58    0      87   13    0 -2119881874
4,4            48  149    3       7   93    0      41   56    3 -2119915821       1 , 6         129   68    3      44   53    3      85   15    0 -2119881705
5,8            48  142   10      14   84    2      34   58    8 -2119915534       4 , 0         129   68    3      44   55    1      85   13    2 -2119881691
8,2            48  149    3      12   87    1      36   62    2 -2119915693       3 , 8         129   63    8      47   48    5      82   15    3 -2119881439
0,2            46  150    4       9   90    1      37   60    3 -2119915951       0 , 1         128   70    2      39   61    0      89    9    2 -2119881943
2,3            46  149    5       8   92    0      38   57    5 -2119915857       0 , 2         128   66    6      44   52    4      84   14    2 -2119881617
9,4            46  146    8      14   82    4      32   64    4 -2119915665       5 , 4         128   66    6      42   55    3      86   11    3 -2119881555
9,3            45  150    5       8   90    2      37   60    3 -2119916228       6 , 8         127   67    6      47   52    1      80   15    5 -2119881796
7,9            45  152    3       6   94    0      39   58    3 -2119916145       1 , 0         127   69    4      48   50    2      79   19    2 -2119881822
5,9            45  151    4       8   90    2      37   61    2 -2119916080       9 , 0         126   70    4      38   59    3      88   11    1 -2119882063
