
Gen 1 vs 1k 

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
5,4            99   97    4      31   66    3      68   31    1     12804       8 , 4         157   40    3      70   30    0      87   10    3     18034
6,2            84  113    3      42   57    1      42   56    2     11490       7 , 3         156   40    4      76   21    3      80   19    1     18115
3,7            83  111    6      30   66    4      53   45    2     11379       7 , 1         152   46    2      63   35    2      89   11    0     17434
8,9            80  119    1      25   74    1      55   45    0     10876       7 , 0         152   47    1      68   32    0      84   15    1     17629
7,4            77  120    3      24   74    2      53   46    1     10659       0 , 5         151   45    4      67   31    2      84   14    2     17523
3,9            77  116    7      11   85    4      66   31    3     10968       7 , 7         151   48    1      64   36    0      87   12    1     17518
7,7            76  123    1      18   81    1      58   42    0     10725       0 , 6         151   46    3      69   29    2      82   17    1     17583
4,5            74  122    4      16   83    1      58   39    3     10479       8 , 0         151   43    6      69   27    4      82   16    2     17722
2,9            71  123    6      24   73    3      47   50    3     10401       2 , 7         150   45    5      65   31    4      85   14    1     17458
3,8            70  123    7      23   77    0      47   46    7     10169       4 , 9         150   47    3      61   37    2      89   10    1     17574
8,4            70  125    5      15   83    2      55   42    3     10140       1 , 7         150   43    7      64   33    3      86   10    4     17756
7,1            69  130    1      12   88    0      57   42    1      9841       7 , 8         149   49    2      64   34    2      85   15    0     17327
4,3            69  127    4      16   83    1      53   44    3     10110       6 , 2         148   49    3      60   39    1      88   10    2     17190
8,0            67  128    5      13   85    2      54   43    3      9817       2 , 0         147   47    6      61   33    6      86   14    0     17274
1,4            67  129    4      11   87    2      56   42    2      9809       9 , 5         147   48    5      61   35    4      86   13    1     17258
2,4            67  126    7      11   86    3      56   40    4     10064       3 , 4         146   53    1      58   42    0      88   11    1     16901
4,2            66  132    2      14   86    0      52   46    2      9745       2 , 4         146   48    6      63   36    1      83   12    5     17178
9,8            66  128    6      18   79    3      48   49    3      9912       0 , 8         146   49    5      59   37    4      87   12    1     17167
5,7            66  125    9      13   83    4      53   42    5     10301       7 , 6         146   51    3      56   41    3      90   10    0     17221
3,0            65  132    3      15   83    2      50   49    1      9575       1 , 4         145   51    4      55   41    4      90   10    0     17081
1,9            65  124   11      16   79    5      49   45    6     10002       8 , 7         145   50    5      63   32    5      82   18    0     17139
