
Gen 1 vs 1k 

Team A:                                                                                                  TeamB: 
Overall:           all             as Black          as White       Fitness    Overall:             all             as Black          as White       Fitness
                W    L    T       W    L    T       W    L    T      Score                      W    L    T       W    L    T       W    L    T      Score
7,6            94  100    6      24   74    2      70   26    4     12575       6 , 5         154   42    4      68   31    1      86   11    3     17652
4,9            79  116    5      23   74    3      56   42    2     11062       6 , 7         152   44    4      69   29    2      83   15    2     17566
7,4            79  113    8      25   71    4      54   42    4     11270       5 , 6         152   43    5      62   34    4      90    9    1     17651
2,8            79  114    7      21   75    4      58   39    3     11290       1 , 6         148   49    3      59   39    2      89   10    1     17185
8,4            78  120    2      10   90    0      68   30    2     10851       4 , 7         148   50    2      59   39    2      89   11    0     17156
2,4            77  116    7      20   75    5      57   41    2     10877       2 , 6         148   47    5      57   39    4      91    8    1     17253
9,1            77  121    2      21   78    1      56   43    1     10812       8 , 4         146   48    6      59   37    4      87   11    2     16947
7,9            77  118    5      12   86    2      65   32    3     11018       0 , 7         145   51    4      58   40    2      87   11    2     16801
9,6            76  121    3      13   85    2      63   36    1     10907       5 , 2         144   50    6      57   39    4      87   11    2     16826
7,5            75  123    2      16   83    1      59   40    1     10682       6 , 8         144   54    2      57   43    0      87   11    2     16821
6,8            75  122    3      26   72    2      49   50    1     10873       4 , 8         143   54    3      57   43    0      86   11    3     16712
5,7            74  122    4      12   85    3      62   37    1     10678       9 , 6         143   48    9      60   33    7      83   15    2     16921
2,6            74  121    5       6   92    2      68   29    3     10763       7 , 7         142   56    2      56   43    1      86   13    1     16648
9,3            74  123    3      13   86    1      61   37    2     10719       2 , 8         141   56    3      51   46    3      90   10    0     16550
6,0            74  121    5      13   85    2      61   36    3     10869       2 , 7         141   57    2      53   47    0      88   10    2     16543
8,9            73  124    3      12   86    2      61   38    1     10319       7 , 8         140   56    4      50   48    2      90    8    2     16299
3,2            72  123    5      12   86    2      60   37    3     10437       7 , 2         140   57    3      52   47    1      88   10    2     16414
4,5            72  125    3      18   81    1      54   44    2     10526       8 , 1         140   54    6      55   41    4      85   13    2     16556
9,9            71  125    4      21   78    1      50   47    3     10361       1 , 5         140   56    4      56   42    2      84   14    2     16496
3,5            71  126    3      12   86    2      59   40    1     10343       8 , 0         140   52    8      51   45    4      89    7    4     16630
7,8            71  122    7      19   79    2      52   43    5     10582       6 , 6         140   59    1      52   47    1      88   12    0     16425
7,0            70  124    6      13   83    4      57   41    2     10326       3 , 4         140   57    3      55   44    1      85   13    2     16529
5,4            70  127    3      16   83    1      54   44    2     10327       6 , 2         139   58    3      56   42    2      83   16    1     16308
4,2            69  125    6      10   86    4      59   39    2     10223       8 , 6         139   55    6      50   47    3      89    8    3     16420
9,4            69  123    8      15   81    4      54   42    4     10368       9 , 9         139   54    7      52   46    2      87    8    5     16466
7,2            69  125    6      16   83    1      53   42    5     10396       4 , 5         139   55    6      56   41    3      83   14    3     16455
5,6            68  127    5      10   88    2      58   39    3     10147       3 , 9         139   54    7      53   44    3      86   10    4     16527
5,5            68  129    3      16   83    1      52   46    2     10153       7 , 5         139   57    4      54   45    1      85   12    3     16441
3,4            68  125    7      13   83    4      55   42    3     10307       0 , 3         139   58    3      58   41    1      81   17    2     16418
6,1            67  127    6      20   77    3      47   50    3      9940       6 , 1         139   53    8      49   46    5      90    7    3     16585
7,1            67  130    3      16   83    1      51   47    2     10135       0 , 5         138   59    3      52   46    2      86   13    1     16238
9,0            67  128    5      20   77    3      47   51    2     10308       9 , 1         138   58    4      51   47    2      87   11    2     16287
8,8            66  129    5      10   89    1      56   40    4      9953       3 , 1         138   54    8      47   47    6      91    7    2     16425
9,5            65  128    7      22   73    5      43   55    2      9866       7 , 1         138   56    6      52   43    5      86   13    1     16563
2,2            65  131    4       9   88    3      56   43    1      9895       1 , 8         137   60    3      50   48    2      87   12    1     16084
4,4            65  131    4      14   84    2      51   47    2      9901       7 , 6         137   60    3      49   49    2      88   11    1     16102
2,5            65  127    8      12   83    5      53   44    3     10060       6 , 4         137   61    2      50   48    2      87   13    0     16077
4,7            65  127    8      16   82    2      49   45    6     10117       5 , 1         137   55    8      54   42    4      83   13    4     16341
4,6            65  133    2      13   85    2      52   48    0      9963       2 , 1         137   54    9      53   43    4      84   11    5     16435
5,3            64  131    5       7   91    2      57   40    3      9773       8 , 2         137   61    2      53   47    0      84   14    2     16235
7,7            64  130    6      10   88    2      54   42    4      9890       1 , 9         137   57    6      55   43    2      82   14    4     16451
8,2            64  132    4      14   83    3      50   49    1      9894       4 , 3         136   62    2      47   53    0      89    9    2     15929
0,5            63  132    5      19   79    2      44   53    3      9586       1 , 4         136   60    4      50   49    1      86   11    3     16145
1,7            63  129    8      14   82    4      49   47    4      9848       1 , 1         136   57    7      52   43    5      84   14    2     16249
1,1            63  130    7      14   86    0      49   44    7      9955       6 , 0         136   59    5      52   45    3      84   14    2     16198
2,0            63  133    4      21   78    1      42   55    3      9871       8 , 8         136   54   10      55   41    4      81   13    6     16488
6,5            62  135    3      19   79    2      43   56    1      9438       4 , 6         136   58    6      53   42    5      83   16    1     16394
6,2            62  134    4       9   89    2      53   45    2      9511       0 , 2         135   63    2      52   47    1      83   16    1     15898
